,HK16,HK19,HK24,HK25,HK26,WT16,WT19,WT24,WT25,WT26
ATAD3A,59,41,74,38,25,40,49,60,48,47
TMEM240,2,2,6,5,4,3,10,15,11,18
SSU72,256,104,407,282,169,35,99,298,277,225
AL645728.2,0,0,0,0,0,0,0,0,0,0
AL645728.1,1,0,3,1,0,0,2,4,3,5
AL645728.3,0,0,0,1,0,0,0,0,0,0
C1orf233,42,23,28,14,16,1,4,36,11,24
RP11-345P4.9,33,24,73,49,41,19,14,162,105,129
MIB2,199,232,152,123,167,79,218,137,117,99
MMP23B,3,0,1,0,0,14,2,0,1,7
CDK11B,85,68,98,100,54,52,73,83,88,79
RP11-345P4.10,0,0,5,8,4,0,2,5,6,3
SLC35E2B,328,212,494,370,265,221,438,661,489,747
RP11-345P4.7,0,0,0,0,0,0,2,0,0,0
RP11-345P4.6,0,0,0,0,0,0,0,0,0,0
MMP23A,0,0,1,0,0,0,1,1,1,3
CDK11A,25,6,12,21,9,0,7,11,12,13
RP1-283E3.8,77,30,81,66,60,82,46,92,94,111
RP1-283E3.4,2,2,9,7,3,0,0,4,4,1
SLC35E2,54,36,77,72,39,54,69,108,82,78
NADK,179,117,200,127,102,94,191,166,142,104
GNB1,1377,419,2138,1283,765,544,630,2345,1849,1948
RP1-140A9.1,5,4,6,8,7,6,1,3,6,1
CALML6,5,10,1,0,2,0,1,0,0,2
TMEM52,6,2,1,4,1,0,0,1,0,0
C1orf222,0,2,1,0,2,0,3,3,2,30
RP11-547D24.1,0,0,0,0,0,0,1,4,0,1
GABRD,2,1,4,5,3,1,5,30,3,11
RP11-547D24.3,0,0,0,0,0,0,1,0,0,0
PRKCZ,290,154,151,169,124,32,53,70,79,131
RP5-892K4.1,0,0,0,0,2,1,0,0,0,0
RP11-181G12.2,5,1,5,8,11,2,12,15,8,32
C1orf86,100,58,166,71,78,45,100,134,56,120
AL590822.2,9,3,5,7,1,1,1,3,0,3
AL590822.1,1,1,2,1,0,0,2,0,3,2
RP11-181G12.5,0,0,0,0,0,0,0,0,0,0
RP11-181G12.4,4,0,3,4,3,0,0,0,0,0
SKI,484,329,827,548,327,327,735,503,621,480
MORN1,127,115,93,103,85,26,49,97,116,81
RP4-713A8.1,3,1,2,1,0,0,0,1,2,0
AL589739.1,0,0,0,1,0,0,0,0,0,1
RP4-740C4.6,16,17,10,12,6,0,6,23,10,18
RP4-740C4.5,0,0,0,0,0,0,0,0,0,0
RP4-740C4.7,9,1,7,4,0,5,0,18,12,3
RP4-740C4.9,5,1,0,1,1,0,0,3,3,3
RP4-740C4.8,0,0,1,0,0,0,1,0,0,1
AL513477.1,1,1,0,0,1,0,0,2,0,0
RER1,658,274,828,596,330,199,257,632,500,389
PEX10,87,29,108,66,49,11,24,105,73,34
PLCH2,414,76,49,37,39,0,25,1,8,10
RP3-395M20.2,1,0,0,0,0,0,1,0,0,0
RP3-395M20.3,0,0,0,1,1,0,1,0,0,0
PANK4,125,109,127,109,86,57,109,130,85,95
HES5,2,0,2,1,0,2,4,4,1,0
RP3-395M20.12,9,0,4,2,1,0,5,2,7,0
RP3-395M20.8,31,24,28,22,24,21,7,1,13,9
TNFRSF14,433,319,160,149,200,222,257,26,152,94
RP3-395M20.7,1,5,1,0,0,0,1,0,2,1
RP3-395M20.9,3,0,2,0,1,0,2,0,0,0
FAM213B,159,44,162,58,48,30,56,58,24,57
MMEL1,6,0,15,4,3,0,4,2,1,2
RP13-436F16.1,0,0,1,0,0,0,0,0,0,0
TTC34,38,21,22,33,39,11,27,17,35,80
RP11-740P5.2,0,0,0,0,0,0,0,0,0,0
RP11-740P5.3,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0
LINC00982,450,540,590,1075,573,0,9,1,0,0
AL008733.1,0,0,0,0,0,0,0,0,0,0
PRDM16,208,191,371,312,154,11,31,0,1,2
RP1-163G9.2,0,0,1,0,0,0,0,0,0,0
RP11-22L13.1,0,1,0,1,1,0,0,0,1,0
